Player,Tm,FantPos,Age,FantPt,PPR,DKPt,PosRank
Tyreek Hill,KAN,WR,27,26,37.1,40.1,1
Amari Cooper,DAL,WR,27,26,38.9,41.9,2
Rob Gronkowski,TAM,TE,32,21,29.0,29.0,1
Travis Kelce,KAN,TE,32,20,25.6,25.6,2
Joe Mixon,CIN,RB,25,21,25.0,28.0,1
Deebo Samuel,SFO,WR,25,23,31.9,35.9,3
Kyler Murray,ARI,QB,24,34,33.6,34.6,1
Nick Chubb,CLE,RB,26,20,22.1,23.1,2
Patrick Mahomes,KAN,QB,26,33,33.3,36.3,2
Tyler Lockett,SEA,WR,29,22,26.0,29.0,4
Corey Davis,NYJ,WR,26,22,26.7,26.7,5
Adam Thielen,MIN,WR,31,21,30.2,30.2,6
Christian McCaffrey,CAR,RB,25,19,27.7,27.7,3
Darren Waller,LVR,TE,29,17,26.5,29.5,3
DeAndre Hopkins,ARI,WR,29,20,26.3,26.3,7
Melvin Gordon,DEN,RB,28,18,20.8,23.8,5
David Montgomery,CHI,RB,24,18,18.8,21.8,4
T.J. Hockenson,DET,TE,24,16,23.7,23.7,4
Jamaal Williams,DET,RB,26,17,25.0,25.0,6
Christian Kirk,ARI,WR,25,19,24.0,24.0,8
Antonio Brown,TAM,WR,33,19,23.7,26.7,9
Elijah Mitchell,SFO,RB,23,16,16.4,19.4,7
D'Andre Swift,DET,RB,22,16,24.4,24.4,8
Jameis Winston,NOR,QB,27,30,29.6,29.6,3
Juwan Johnson,NOR,TE,25,14,17.1,17.1,5
Josh Jacobs,LVR,RB,23,16,17.0,17.0,9
Jared Goff,DET,QB,27,29,28.9,32.9,4
Jalen Hurts,PHI,QB,23,29,28.8,28.8,5
Ty'Son Williams,BAL,RB,25,15,18.4,18.4,10
Sterling Shepard,NYG,WR,28,17,24.3,27.3,10
Alvin Kamara,NOR,RB,26,15,18.1,18.1,11
Cooper Kupp,LAR,WR,28,17,23.8,26.8,11
Darrell Henderson,LAR,RB,24,15,15.7,15.7,12
Mark Ingram,HOU,RB,32,15,14.5,14.5,13
Dalvin Cook,MIN,RB,26,14,20.4,21.4,14
CeeDee Lamb,DAL,WR,22,16,23.4,26.4,12
Zach Pascal,IND,WR,27,16,20.3,20.3,13
Dak Prescott,DAL,QB,28,27,27.4,31.4,6
Kareem Hunt,CLE,RB,26,14,17.1,17.1,15
Tom Brady,TAM,QB,44,27,27.2,32.2,7
Russell Wilson,SEA,QB,33,27,27.1,27.1,8
Ja'Marr Chase,CIN,WR,21,16,20.9,23.9,14
Miles Sanders,PHI,RB,24,13,17.3,17.3,16
DJ Chark,JAX,WR,25,15,17.6,17.6,15
Chris Godwin,TAM,WR,25,15,23.5,27.5,16
Jarvis Landry,CLE,WR,29,14,19.4,19.4,17
Dallas Goedert,PHI,TE,26,10,14.2,14.2,6
Mike Williams,LAC,WR,27,14,22.2,22.2,18
Van Jefferson,LAR,WR,25,14,16.0,16.0,19
Austin Ekeler,LAC,RB,26,12,11.7,11.7,17
Jonathan Taylor,IND,RB,22,12,17.6,17.6,18
Marvin Jones,JAX,WR,31,14,18.7,18.7,20
Marquise Brown,BAL,WR,24,13,19.4,19.4,21
Matthew Stafford,LAR,QB,33,24,24.3,27.3,9
Nelson Agholor,NWE,WR,28,13,18.2,18.2,23
Brandin Cooks,HOU,WR,28,13,18.2,21.2,22
Deonte Harris,NOR,WR,24,13,15.2,15.2,24
Logan Thomas,WAS,TE,30,9,12.0,12.0,7
DeVonta Smith,PHI,WR,23,13,19.1,19.1,25
Derek Carr,LVR,QB,30,24,24.0,28.0,10
Chase Edmonds,ARI,RB,25,11,14.6,14.6,19
Tyrod Taylor,HOU,QB,32,24,23.6,23.6,11
Kenneth Gainwell,PHI,RB,22,10,12.3,12.3,20
Chris Manhertz,JAX,TE,29,8,9.2,9.2,8
Gerald Everett,SEA,TE,27,8,10.0,10.0,9
Jaylen Waddle,MIA,WR,23,12,16.1,16.1,26
D.K. Metcalf,SEA,WR,24,12,16.0,16.0,27
George Kittle,SFO,TE,28,8,11.8,11.8,10
Tee Higgins,CIN,WR,22,12,15.8,15.8,28
Damien Harris,NWE,RB,24,10,11.7,15.7,22
Chris Carson,SEA,RB,27,10,12.7,13.7,21
David Njoku,CLE,TE,25,8,10.6,10.6,11
Robby Anderson,CAR,WR,28,12,12.7,12.7,29
Jalen Reagor,PHI,WR,22,11,16.9,16.9,31
Derek Watt,PIT,,29,,,,1
Kirk Cousins,MIN,QB,33,22,22.0,25.0,12
Jakob Johnson,NWE,,27,,,,3
A.J. Brown,TEN,WR,24,11,14.9,14.9,30
Daniel Jones,NYG,QB,24,21,21.4,22.4,13
Teddy Bridgewater,DEN,QB,29,20,20.5,20.5,14
Sam Darnold,CAR,QB,24,19,19.1,20.1,16
Joe Burrow,CIN,QB,25,19,18.6,18.6,17
Trevor Lawrence,JAX,QB,22,19,19.1,25.1,15
Carson Wentz,IND,QB,29,18,18.3,19.3,18
Zach Wilson,NYJ,QB,22,18,18.3,19.3,19
Lamar Jackson,BAL,QB,24,18,18.0,20.0,20
Josh Allen,BUF,QB,25,17,17.2,18.2,21
Tua Tagovailoa,MIA,QB,23,16,16.2,17.2,22
Mac Jones,NWE,QB,23,15,15.2,15.2,23
Jimmy Garoppolo,SFO,QB,30,15,14.8,18.8,24
Ryan Tannehill,TEN,QB,33,14,14.2,17.2,25
Baker Mayfield,CLE,QB,26,13,12.6,16.6,27
Justin Herbert,LAC,QB,23,13,13.4,18.4,26
Ben Roethlisberger,PIT,QB,39,12,12.0,12.0,28
Zay Jones,LVR,WR,26,11,12.6,12.6,32
Taylor Heinicke,WAS,QB,28,11,10.6,10.6,29
Gabriel Davis,BUF,WR,22,10,12.0,12.0,34
Tim Patrick,DEN,WR,28,10,13.9,13.9,35
Diontae Johnson,PIT,WR,25,10,14.6,14.6,37
Sammy Watkins,BAL,WR,28,10,13.6,13.6,36
Keenan Allen,LAC,WR,29,10,19.0,22.0,33
D.J. Moore,CAR,WR,24,9,15.4,15.4,39
Anthony Schwartz,CLE,WR,21,9,11.6,11.6,41
Danny Amendola,HOU,WR,36,9,14.4,14.4,38
David Johnson,HOU,RB,30,9,11.8,11.8,24
Phillip Lindsay,HOU,RB,27,9,8.5,8.5,26
Robert Woods,LAR,WR,29,9,12.4,12.4,40
Latavius Murray,BAL,RB,31,9,8.8,8.8,23
Antonio Gibson,WAS,RB,23,9,11.8,12.8,25
Devin Singletary,BUF,RB,24,8,11.0,11.0,28
Nyheim Hines,IND,RB,25,8,14.2,14.2,27
Myles Gaskin,MIA,RB,24,8,12.6,12.6,31
DeVante Parker,MIA,WR,28,8,12.1,12.1,43
Justin Jefferson,MIN,WR,22,8,12.5,12.5,46
K.J. Osborn,MIN,WR,24,8,14.6,14.6,45
Derrick Henry,TEN,RB,27,8,10.7,10.7,30
